Gene	1.D3_Contro	2.D3_Treate	3.D6_Contro	4.D6_Treate	5.D10_Contr	6.D10_Treat
Sorcs3	0	0	0	0	0	0
Trim34a	90	84	70	55	109	78
Trim34b	0	1	0	0	1	2
Prepl	6518	5563	4503	4247	3591	3458
4933412E24Rik	0	0	0	0	0	0
Cdhr1	447	243	138	38	79	20
Cdhr2	0	0	0	0	0	0
Cdhr3	0	3	1	156	3	32
Cdhr5	0	0	1	0	0	0
Gm36633	0	0	0	0	0	0
Gm12866	2	0	1	0	4	3
Tcof1	6551	6350	5508	6396	4185	5343
Gm3279	0	0	0	0	0	0
Prmt10	2145	2009	2017	1937	1911	1716
Olfr523	0	2	0	2	0	0
Olfr522	0	0	2	0	2	0
Olfr521	0	5	0	0	0	0
Olfr520	0	0	0	0	0	0
Olfr527	0	0	0	0	0	0
Olfr525	0	0	0	0	0	0
Olfr524	0	0	0	0	0	0
Gm10640	4	1	3	3	5	0
Gm10649	0	0	0	0	0	1
Zik1	1227	1228	893	679	1007	1096
5730435O14Rik	0	0	0	0	0	0
Usp8	10543	10459	10059	10246	8947	9408
Usp1	5471	5299	3403	2667	3111	4577
Fnd3c2	0	0	0	0	0	0
Usp3	1415	1670	1495	2087	1222	1434
Usp4	9821	9185	8351	7932	6667	6610
Usp5	21099	19845	17043	15953	14763	15932
Usp7	13074	12536	11242	10479	9229	10000
Rpl38	167	190	194	252	254	279
Rpl39	1651	1604	1934	2217	2868	2633
Rpl36	202	208	127	144	120	118
Rpl37	991	969	1197	1293	1392	1321
Rpl34	162	204	189	288	271	259
Rpl35	94	85	76	92	97	101
Rpl32	15418	15975	18096	20750	22797	21350
Rpl30	107	121	111	120	109	99
Rpl31	635	630	706	1222	1022	1206
Anp32e	12553	12323	8681	6661	7043	9003
Fam13b	4992	4588	4161	3741	2931	2578
Fam13c	4025	3301	3913	3412	2984	2424
Fam13a	1090	1004	1184	953	924	767
Bcas2	5232	4758	4593	4540	4844	4944
Bcas3	1828	2047	2429	2287	2359	2260
Bcas1	2	0	0	3	4	0
Gm8369	0	0	0	0	0	0
BC089491	0	0	0	0	0	0
Hist3h2ba	0	0	0	0	0	0
Mlycd	662	811	900	1091	1129	1315
Hist4h4	2	0	0	0	1	2
Rpl3l	2	7	2	4	0	0
Ttbk2	5946	5699	5007	4206	3935	3579
Ammecr1l	4716	4574	5040	4455	3738	3646
Ttbk1	0	0	0	2	0	0
Ncor2	13529	13090	12204	10741	7647	7545
Ncor1	26686	25119	22322	18555	15621	13907
1810010D01Rik	18	11	7	3	10	4
Nkiras2	1183	1177	1116	1309	1261	1293
Gkn1	0	0	0	0	0	0
Gkn2	0	0	0	0	0	0
Gkn3	0	0	0	0	0	0
Magohb	1493	1468	1271	1270	1189	1495
Nkiras1	529	551	609	594	619	649
Ppme1	4686	4092	4382	3777	4785	4593
Gltpd2	0	0	0	0	0	0
Gm19276	7	6	2	0	1	1
Cep164	3993	3776	3439	2758	2559	2805
Cep162	2897	2456	2203	1701	1763	1809
Gm14015	0	0	0	0	0	0
Lrriq1	0	0	0	0	1	17
Lrriq3	60	45	82	96	170	103
Lrriq4	1	0	2	0	0	1
Ythdc1	5803	5736	4972	4666	3785	3684
Vmn2r84	0	0	0	0	0	0
Vmn2r85	0	0	0	0	0	0
Vmn2r86	0	0	0	0	0	0
Vmn2r87	0	0	1	0	0	0
Gm15760	230	203	143	168	137	153
Vmn2r81	0	0	0	0	0	0
Vmn2r82	0	0	0	0	0	0
Vmn2r83	0	0	0	0	0	0
Tinf2	1428	1420	862	717	833	1064
Vmn2r88	0	0	0	0	0	0
Vmn2r89	0	0	0	0	0	0
Egf	184	217	193	272	157	186
Slc4a11	490	338	350	245	247	232
Slc4a10	0	0	0	2	0	0
4930519G04Rik	0	0	1	2	0	0
BC026585	0	0	0	0	0	1
1700013D24Rik	0	1	0	0	0	0
Ptprz1	0	0	0	5	0	2
Pold1	4576	4359	2450	1646	3042	4397
Pold2	3996	3696	2969	2215	3059	3360
Pold3	2249	2205	1486	1282	1690	2115
Pold4	454	509	545	610	760	588
Hdac1	1085	918	855	693	866	796
Hdac3	7326	6103	5690	4455	5742	5021
Hdac2	18828	17765	15516	13414	15424	15831
Hdac5	7849	9770	9627	10782	8212	9376
Hdac4	3002	2925	2646	1934	1596	1303
Gm11681	0	0	0	0	0	0
Hdac6	2279	1985	1781	1318	1659	1365
Hdac9	40	223	148	754	106	420
Hdac8	1044	1031	988	1165	1181	848
Gmpr	1297	1131	1119	786	1239	751
Gmps	6403	6491	5420	5005	4567	5616
1110032F04Rik	0	0	0	0	0	0
4930557J02Rik	1	0	1	0	2	0
Pvr	1070	1411	1223	1379	908	803
4732471J01Rik	35	34	29	21	30	39
Lix1l	11740	9707	12296	8781	11185	8120
Ikzf5	1649	1468	1394	1227	963	1180
Ikzf4	9	17	3	21	3	18
Ikzf1	0	0	0	2	0	0
Ikzf3	0	0	0	0	0	0
Ikzf2	529	457	324	240	424	230
H2afv	3995	3201	3076	1770	2780	2442
Mbtd1	3070	3098	2872	2806	2152	1948
H2afx	3165	2965	1721	1259	1340	1858
H2afy	5090	4869	4326	4208	3769	4132
H2afz	342	343	221	214	230	299
H2afj	3197	2911	3056	3454	3332	2850
Theg	0	0	0	2	0	0
Fgf18	398	545	603	449	362	136
Fgf13	0	4	0	0	2	5
Fgf12	0	0	0	2	0	0
Fgf11	92	170	142	117	205	97
Fgf10	0	0	2	2	0	0
Fgf17	10	4	8	18	22	8
Fgf16	0	0	0	0	0	0
Fgf15	0	1	1	1	0	0
Fgf14	2	8	76	189	372	337
Dpcr1	8	9	0	2	8	0
Prss46	6	16	0	28	0	9
Prss44	0	0	0	2	0	0
Prss45	0	4	2	0	1	5
Prss42	0	6	3	2	7	9
Snrpd1	2082	2171	1615	1412	1913	2243
Faap100	2751	2538	2309	1828	1956	1936
Prss41	0	2	0	0	0	0
Prss48	28	29	15	11	14	11
Phc1	4398	4474	3658	3554	2623	2581
Phc3	8578	8142	7596	6607	6619	6103
Phc2	4508	4849	4165	5260	3259	4573
Sh2d4b	8	8	8	7	4	0
Golt1b	10423	10709	11056	13337	9228	11750
Golt1a	0	0	0	0	0	0
Med25	4256	3860	3687	3119	2600	2567
4930544M13Rik	0	0	0	0	0	0
Grin1os	3	0	0	0	0	5
Chmp3	10846	10303	10247	10074	11916	12690
Chmp7	2686	2564	2297	2352	2108	1986
Chmp6	3399	3261	2788	2594	2812	2947
Chmp5	7935	7689	8071	8655	10789	9815
Mir6940	2	2	0	0	1	0
Gcnt4	1391	1127	829	558	813	400
Gcnt7	48	38	35	62	41	29
Mir6943	1	2	0	0	1	1
Gcnt1	4056	3664	3384	3053	3321	3696
Fam170b	1	0	0	0	0	0
Fam170a	2	0	0	0	0	0
Gcnt2	229	235	180	141	96	154
Mir6948	2	2	5	1	5	5
Mir6949	0	0	0	0	0	0
Mark4	1621	1535	1265	1173	885	909
Mark1	2	0	0	6	1	2
Mark2	5555	5540	4262	4098	3145	3672
Mark3	7028	6427	6287	6228	5286	5374
4930565D16Rik	0	0	0	0	0	0
Nmd3	3742	3902	3317	3954	3112	3552
Rps15a-ps6	8	9	5	3	3	4
Extl1	26	86	54	493	42	63
Extl2	4471	4358	4348	3985	3640	3953
Extl3	7951	7279	7386	5015	5376	4523
Gm7609	1	1	3	0	4	1
Tia1	7328	6560	5704	6133	6673	6621
Tmem160	1284	1160	1233	1104	1540	1552
Tmem163	1	3	2	4	0	6
Tmem165	4312	3862	4125	3874	4469	4250
Tmem164	10082	11056	7359	5865	5952	5521
Tmem167	6814	7436	7157	8604	8455	9874
Tmem169	30	76	87	108	186	65
Tmem168	7383	7015	6729	6862	5515	5689
Tbc1d8	102	166	121	301	124	209
Tbc1d9	0	0	0	2	2	0
Tbc1d1	4807	4445	3529	2987	2620	3103
Tbc1d2	29	78	18	69	13	14
Tbc1d4	3158	3153	2434	1732	1835	1755
Tbc1d5	5185	5259	4867	4989	4530	4137
Tbc1d7	1054	942	893	859	867	875
Spata45	12	8	5	9	20	14
Tex13a	0	0	0	0	0	0
Mir3070a	0	0	0	0	0	0
Mir3070b	0	0	0	0	0	0
4933405E24Rik	0	0	0	0	0	0
Upb1	0	0	2	0	0	0
Akirin2	5132	4938	4375	4324	3511	3631
Akirin1	1267	1334	1267	2162	1343	1811
Olfr247	0	0	0	0	0	0
Ap3m1	2271	2535	2529	3146	2615	3254
Ap3m2	703	636	876	630	965	681
Limd2	2292	1610	1913	1070	2202	1613
Limd1	5938	5739	6033	6088	4864	6575
1700046C09Rik	0	0	0	0	0	0
Nop58	14387	15429	11635	13664	11919	15325
Acsf2	1061	924	1032	670	889	563
Acsf3	1233	1211	1178	1103	1125	886
Gga2	7331	7108	8467	9284	7205	7581
Sarnp	194	180	174	150	187	186
Cdk13	7308	6976	6589	6388	4020	4555
Kcnip4	93	158	70	62	75	88
Kcnip3	24	41	29	32	32	30
Kcnip2	16	18	31	19	15	17
Kcnip1	0	0	0	0	0	0
4930553E22Rik	0	0	0	0	0	0
4930447A16Rik	1	1	0	0	0	0
Tpcn1	5597	5656	6529	9394	4914	9920
Tpcn2	2269	2073	1670	1406	1405	1356
Tcirg1	5731	4506	4191	3163	3442	3624
Ltbp4	3006	2699	4689	4556	4306	4903
Ltbp3	9686	8518	10599	7709	10610	8659
Ltbp2	62	71	16	70	81	158
Ltbp1	36456	32914	27628	17985	18576	19032
Olfr911-ps1	0	0	0	0	0	0
Chadl	11	17	31	22	27	57
3300002P13Rik	0	4	1	2	0	0
9530082P21Rik	1921	1591	1622	1292	1548	1145
Gm1600	3	6	16	10	8	6
Cxx1a	166	159	153	123	174	155
Secisbp2	1653	1569	1581	1898	1412	1564
Cxx1c	469	560	700	611	1130	747
Cxx1b	290	287	297	280	365	264
Cacna1h	77	70	118	104	247	189
Cacna1i	16	21	10	3	4	2
Tshz1	1803	1685	1519	1194	1118	1181
Calhm1	6	3	2	0	2	5
Ctdspl2	5171	5173	4003	3388	3945	4785
Cacna1a	1436	1128	1088	1091	2415	2043
Cacna1b	19	13	17	13	8	8
Cacna1c	4762	6209	4595	4343	3738	3786
Cacna1d	11	9	18	20	3	6
Cacna1e	4	7	0	2	0	0
Cacna1f	0	3	4	0	0	0
Cacna1g	30124	29574	40096	18254	22857	9658
Olfr1415	0	0	0	0	0	0
Cacna1s	0	9	0	33	2	6
Xrn1	4603	4299	3825	3411	3061	2724
Xrn2	10573	10420	8774	9085	7365	8203
Pde11a	0	2	0	2	0	0
Gm17689	0	0	0	0	0	0
Nubpl	209	249	223	307	323	325
Dqx1	385	376	260	439	464	351
Dynlrb1	8448	8064	8791	8622	10924	9596
Mir7228	0	0	0	0	0	0
Mir7229	0	0	0	0	0	0
Mir7222	0	0	0	0	0	0
Mir7223	0	1	0	0	0	0
Mir7220	0	0	0	0	0	0
Mir7221	0	0	0	0	0	0
Mir7226	1	1	0	0	0	1
Mir7227	2	2	2	1	1	0
Mir7224	0	0	0	0	0	0
Mir7225	0	0	0	0	0	0
Phb	948	994	925	835	973	1182
1600015I10Rik	0	0	0	0	0	0
Cnot8	5065	4405	5140	4337	4298	3914
Gm10486	0	0	0	0	0	0
Gm10487	0	0	0	0	0	0
Cnot3	2697	2669	2242	2013	1734	1851
Cnot2	8321	8353	7399	7416	6696	6994
Cnot1	22055	21106	17700	14270	11550	12324
Cnot7	5448	5536	4717	5050	4159	4999
Cnot6	17994	18001	14582	12735	11847	15042
Cnot4	4137	4011	3354	3005	2732	2806
Mir3107	0	0	0	0	0	0
Mir3106	0	0	0	0	0	0
Mir3105	0	0	0	0	0	0
Mir3104	1	0	0	0	0	0
Mir3103	0	0	1	1	0	3
Mir3102	1	4	2	2	3	0
Mir3101	57	39	48	50	35	29
Mir3100	10	15	7	10	4	4
Oscar	6	11	6	0	4	1
Mir3109	6	11	4	8	1	4
Mir3108	4	10	1	1	4	2
Sirpb1a	0	0	0	0	0	0
Sirpb1b	0	0	0	0	0	0
B930018H19Rik	0	0	0	0	0	0
Nfic	27752	26229	27700	20228	21808	22315
Cnr1	0	0	0	0	0	4
Mir871	0	0	0	0	0	0
Mir877	0	4	0	1	1	1
Mir876	0	0	0	0	0	0
Mir875	2	2	1	1	0	0
Mir874	0	0	0	0	0	0
Mir879	0	0	0	0	0	0
Mir878	0	0	0	0	0	0
Cxcr3	0	0	0	0	0	0
Cxcr2	0	0	0	0	0	0
Cxcr1	0	0	0	0	0	0
Cxcr6	39	47	28	23	18	14
Cxcr5	70	74	51	41	39	43
Cxcr4	0	4	0	1	0	2
Cyp2j11	0	0	0	0	0	0
Cyp2j12	2	0	0	0	0	0
Cyp2j13	1	0	3	0	12	0
Fbxl20	6592	5974	7694	7057	6513	5299
Fbxl21	49	47	40	56	64	49
Fbxl22	112	78	94	59	98	158
D19Bwg1357e	8179	8919	7884	9372	6761	8302
5930412G12Rik	0	0	0	0	0	0
Dlc1	12382	13408	11765	12389	6608	9386
Pkig	1650	1546	1745	1159	1945	1709
Pkia	164	433	289	732	239	377
Pkib	0	0	0	0	0	0
1810026J23Rik	3159	2901	2989	2533	2435	2683
Trnt1	3528	3551	3291	3842	3398	3927
A930031H19Rik	0	0	0	0	0	0
Lnpep	12885	13735	10857	9147	7681	7812
Gss	2923	2698	2484	2669	2220	2164
Gsr	5235	4513	3561	3120	2693	3351
Izumo1	0	2	0	0	0	0
Gsc	670	719	792	597	808	693
Izumo3	0	0	0	0	0	0
Izumo4	493	342	341	323	883	687
Gsn	49847	53955	53327	55549	50478	53219
Wnt3	3	4	0	0	0	0
Wnt2	0	0	0	0	0	0
Wnt1	26	18	12	22	8	8
Wnt6	1749	2308	1856	2144	1511	2273
Wnt4	319	300	112	482	153	506
Syngap1	1553	1795	1381	1258	1460	1157
Fam219aos	435	526	487	399	380	317
Sod2	5561	5705	4935	4841	4693	4642
Grhl1	31	32	12	23	23	32
Grhl2	0	4	0	0	0	8
Grhl3	23	67	79	492	95	495
1190005I06Rik	56	47	77	50	67	81
Defa6	0	0	0	0	0	0
Defa5	0	0	0	0	0	0
Defa4	0	0	0	0	0	0
Defa3	0	0	0	0	0	0
Defa2	0	0	0	0	0	0
Cyp4f41-ps	8	5	10	6	8	13
Hhatl	2	0	4	7	4	9
Tmprss9	13	11	16	6	7	7
Cyp4a12a	0	0	0	0	0	0
Cyp4a12b	0	0	0	0	0	0
Tmprss3	0	0	0	0	0	0
Tmprss4	0	0	0	0	0	0
Tmprss5	1	0	2	2	0	0
Tmprss6	30	25	25	16	31	21
Olfr237-ps1	0	0	0	0	0	0
Trhr	5	0	2	2	1	0
4933427I22Rik	0	0	0	0	0	0
Tmed11	0	0	0	0	0	0
Tmed10	5127	5525	5376	5586	4283	4882
Sdpr	3649	2185	2967	1122	2004	652
Gm15217	21	22	12	9	14	19
Gulo	0	0	0	4	0	2
Rrh	7	9	5	2	6	3
3110082I17Rik	1569	1638	1265	1526	1543	2118
Id4	3629	2251	1539	738	2529	674
Id2	1645	1806	716	501	1292	1372
Id3	4909	4465	2450	2500	5345	8887
4930511A08Rik	1	5	1	2	1	0
Rrnad1	1228	1077	1191	1046	995	969
Tpd52	43	290	47	512	67	348
Asgr1	31	10	6	15	43	8
Asgr2	0	4	0	2	0	0
Csn2	0	0	0	0	0	0
Csn3	0	0	0	0	0	0
Supt16	7622	7552	6085	5371	5481	6269
Trub1	2583	2835	2377	2348	2582	2288
Trub2	3092	2979	2477	2546	2190	2380
Ids	9366	8049	9368	6891	7944	7616
Gm13119	0	0	0	0	0	0
Zfp507	4594	4516	4680	4133	3455	3300
Ide	12627	11971	11981	12910	11863	12629
Arpp21	0	0	0	0	0	2
Barhl2	0	0	0	0	0	0
Barhl1	51	36	28	19	16	20
Gsta4	23	33	8	8	21	6
Gsta1	0	0	0	0	0	1
Gsta2	0	0	0	0	0	0
Gsta3	2	4	4	5	9	2
Lyl1	160	159	70	37	31	30
Med30	1625	1666	1395	1451	1804	1951
Med31	669	771	770	1040	990	1330
Tmem29	927	993	783	707	1020	804
Gcm1	0	0	0	2	0	0
Tmem28	0	0	1	0	0	0
Gm6537	4	0	3	6	1	2
Ccnyl1	985	1065	752	831	668	993
Tat	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0
Upk2	0	0	0	0	0	0
Taz	1999	1976	2100	2083	2616	2266
Apoc4-apoc2	0	0	0	0	0	0
Mir409	0	0	0	0	0	0
Aacs	11333	10693	7804	5140	4486	4737
Olfr196	0	0	0	0	0	0
Olfr197	0	0	0	0	0	0
Olfr194	0	0	0	0	0	0
Olfr195	0	0	0	0	0	0
Olfr192	0	0	0	0	0	0
Olfr193	0	0	0	0	0	0
Olfr190	0	0	0	0	0	0
Olfr191	0	0	0	0	0	0
Immp1l	398	439	370	447	638	553
Prl7a1	0	0	0	1	2	0
2010308F09Rik	7	1	2	0	1	0
Olfr198	0	0	0	0	0	0
Olfr199	0	0	0	0	0	0
Hotair	34	26	63	26	94	34
Lrrc18	0	0	0	0	0	0
Lrrc19	62	44	45	36	21	11
Lrrc17	8499	6833	9335	5256	5115	2727
Lrrc14	2900	2758	2629	2349	2248	2410
Lrrc15	364	504	505	684	771	777
Lrrc10	2	0	0	0	0	1
Basp1	2108	1768	765	962	482	780
Fiz1	2011	1989	1671	1998	1233	1356
Nespas	150	152	79	67	60	85
Apopt1	1430	1368	1302	1482	1795	1558
Myd88	2355	2430	2339	2954	2463	2654
Gm20806	0	0	0	0	0	0
D930016D06Rik	1372	1326	1278	1280	1078	921
Gm20809	0	0	0	0	0	0
1700012B09Rik	0	2	0	0	0	0
Gm11186	0	0	1	0	0	0
1700028D13Rik	0	0	0	2	0	0
4930539M17Rik	0	0	0	0	0	0
Glb1l2	0	0	0	0	0	0
Glb1l3	0	0	0	0	0	2
Gm11236	0	0	0	0	0	0
Gm11237	0	0	0	0	0	0
Gm4827	0	1	1	2	4	0
D17H6S53E	1295	1001	1144	940	974	976
Efhd2	2132	1892	1844	1818	1853	2366
Efhd1	3015	3228	4409	6314	4852	4213
Fam206a	5316	5626	4886	5097	3862	4081
Usp47	19155	17940	15606	14342	12044	12174
Eddm3b	0	0	2	2	1	0
Zcchc13	2	6	4	4	0	0
Zcchc12	0	1	0	0	0	0
Krt28	0	0	2	0	0	2
Zcchc10	899	999	863	903	842	874
Zcchc17	2864	2523	2358	2181	2595	2647
Alkbh8	1382	1348	1135	901	933	856
Olfr1274-ps	0	0	0	0	0	0
Zcchc14	10862	10022	9161	7945	6847	6772
Krt23	0	7	0	0	4	0
Krt20	0	4	0	14	5	5
1700126H18Rik	0	0	0	0	0	0
Krt26	0	0	0	0	0	0
Krt27	0	0	0	0	0	2
Krt24	0	0	0	0	0	0
Krt25	0	0	0	0	0	0
Usp46	5101	5077	4001	3562	4051	4313
Alkbh7	503	481	504	448	599	533
Dnaja2	14683	14306	12637	13041	12438	13488
Dnaja3	3930	4294	4294	5968	4448	4796
Dnaja1	2410	2117	2161	1768	2097	2055
Dnaja4	1247	1128	984	904	1147	878
A630010A05Rik	0	0	0	0	0	0
Gm19402	0	0	0	0	0	0
Acer2	4	2	0	6	0	12
Acer3	1525	1599	1499	1657	1426	1637
Acer1	0	0	0	2	0	0
Recql	2756	2779	2050	2295	3477	4281
D330045A20Rik	0	1	0	0	0	0
Trpt1	686	596	523	555	808	783
Alppl2	0	0	0	0	0	0
Agbl5	605	589	508	561	531	418
Agbl4	0	2	0	0	4	0
Agbl3	501	472	468	390	744	399
Agbl2	3	3	1	1	0	0
Agbl1	0	0	0	0	0	0
Ccser2	11681	11476	10857	10195	7874	7362
Ccser1	0	0	0	0	0	0
Stard8	1124	1193	852	549	444	591
Srp14	5903	5170	5836	6171	8390	8084
Stard3	1944	1768	1688	1697	1594	1561
Srp19	3066	3014	3069	3669	3086	3403
Stard6	32	63	53	39	75	60
Stard7	7979	8289	6946	6780	6030	7278
Stard4	10820	11058	6354	3747	2339	2994
Stard5	1233	1165	1295	3211	997	1014
AI314278	0	0	0	0	0	0
Usp42	3145	3279	2841	2325	2055	1840
1700110C19Rik	3	2	10	4	8	10
Dock8	388	944	237	1144	212	1053
Dock9	1944	1731	2100	1327	1715	915
Dock2	0	0	0	0	0	0
Dock3	12	19	6	5	9	13
Dock1	7194	7192	6529	5435	5712	7416
Dock6	1891	1725	1547	1269	1457	1264
Dock7	13514	13789	10446	9047	9562	9752
Dock4	2944	3281	2746	3079	2227	2833
Dock5	5055	5225	4428	3074	3113	2797
Phxr4	30	30	2	1	8	1
Hsd17b12	12944	13375	9707	9190	5501	6234
Hsd17b13	5	1	0	3	1	0
Hsd17b10	5125	4807	4093	3349	4491	3484
Hsd17b11	4032	3242	3791	2573	3222	2089
Hsd17b14	39	49	42	32	54	33
4930519H02Rik	0	0	0	0	0	0
Cngb1	308	391	252	347	247	333
Cngb3	0	4	0	0	0	0
Cox20	1117	1069	1178	1042	1393	1269
4930517M08Rik	0	0	0	0	0	0
Nup214	8026	7968	6530	5489	4503	4960
Nup210	0	3	0	0	0	0
Cyp2c66	0	0	0	0	0	0
4930448F12Rik	0	0	0	0	0	0
Olfr1158	0	0	0	0	0	0
Msmp	0	0	0	0	0	0
Olfr1154	0	0	0	0	0	0
Olfr1155	0	0	0	0	0	0
Olfr1156	0	0	0	0	0	0
Olfr1157	0	0	0	0	0	0
Olfr1151	0	0	0	0	0	0
Olfr1152	0	0	0	0	0	0
Olfr1153	0	0	0	0	0	0
Slc23a1	70	80	87	42	42	40
Slc23a3	25	27	4	43	23	44
Slc23a2	7305	6852	5641	6343	4176	4901
Mir22hg	2527	2378	1874	2833	2102	1852
Msmb	0	2	0	0	0	0
Bbx	6748	7772	6045	5510	4500	4186
4930517E11Rik	0	0	0	0	0	0
Snord17	51	64	40	28	42	38
Snord11	8	10	7	4	1	1
Snord12	245	332	291	343	313	320
Snord19	51	54	30	40	27	27
Dusp19	968	975	919	836	1091	1013
Dusp18	314	362	266	316	137	154
Dusp15	15	13	4	34	8	9
Dusp14	387	220	347	374	261	245
Dusp16	2608	3478	3568	3733	1665	1970
Dusp11	19585	21003	17433	20942	13770	14914
Dusp10	2695	1735	1697	952	1199	863
Dusp13	13	13	21	29	30	15
Dusp12	1507	1466	1721	2080	1855	1835
Sgpl1	9156	8488	7870	8231	6691	6787
Fate1	0	0	0	0	0	0
Snord1a	0	0	0	0	0	0
Snord1b	20	41	20	25	20	21
Snord1c	22	26	10	13	12	5
Slc20a2	4342	4779	3673	3419	2925	3450
Slc20a1	9042	8302	5705	6411	3285	4143
Cadm4	7	21	20	28	17	7
Cadm2	0	0	0	2	0	1
Cadm3	0	0	0	0	0	4
Srcin1	128	136	106	15	23	7
Cadm1	0	0	2	5	0	4
8430426J06Rik	1	2	10	12	19	8
Eif3j1	0	0	0	0	0	0
Spin2c	231	318	232	167	247	203
Spin2d	0	0	0	0	0	0
AA536875	2	2	2	0	0	0
Sptbn4	73	62	39	21	40	24
Sptbn2	210	257	147	149	105	111
Sptbn1	60585	54984	52601	37290	38091	32081
Nell1os	0	0	0	0	0	0
Cldn34d	0	0	0	0	0	0
Cldn34a	0	0	0	0	0	0
C130050O18Rik	108	149	133	282	137	574
Dfna5	967	1074	667	631	968	794
Hsf2bp	14	10	8	13	19	21
Ski	10683	8948	9591	7472	6395	5951
Gm2560	16	19	26	13	30	27
Slx4ip	787	722	606	541	502	536
Krtap11-1	0	0	0	0	0	0
Adig	0	0	1	2	0	1
Hpse2	0	0	0	0	0	0
Usp2	289	315	253	271	185	222
C330021F23Rik	1	0	0	0	0	1
Gm16451	0	0	0	0	0	0
Rab22a	4002	3403	3651	3063	2839	2756
Cdk2ap1	150	147	129	101	136	134
Cdk2ap2	1546	1455	1557	1240	1829	1337
Speer4cos	0	0	0	0	0	0
Adi1	2822	2355	3275	2701	2911	2108
Pcsk1n	0	0	0	2	0	0
Pdk1	1504	2559	3466	5057	6102	6317
Pdk3	3274	3413	2896	2950	2704	2463
Pdk2	1501	1446	1864	1401	1869	1416
Pdk4	7837	3095	4573	1351	5302	1870
Grpel1	5447	5415	5249	6364	5410	6542
Grpel2	1110	1026	945	1051	1013	1167
Il12rb1	265	201	133	108	185	112
4931429I11Rik	0	0	0	0	0	0
Il12rb2	130	166	122	163	91	151
Prkrir	8604	8156	7329	6842	6071	5778
1700021K19Rik	3776	3603	3464	3724	3162	3519
Ankrd33b	26	57	31	44	38	23
Scn5a	11	17	23	14	17	5
Hif3a	2	0	2	15	0	9
Pecr	663	764	836	1122	1210	1204
Golga1	4835	4501	4070	3794	4012	3946
Golga2	12055	12124	12097	13528	9698	10609
Golga3	9839	10535	10087	10663	5837	6817
