Gene	1.D3_Contro	3.D6_Contro	5.D10_Contr	2.D3_Treate	4.D6_Treate	6.D10_Treat
1700003F12Rik	55.7695	40.2706	68.104	55.2036	54.1684	114.3855
1700003G13Rik	0	0	0	0	0	0
1700003G18Rik	3.5247	12.0654	8.5905	3.5516	3.158	5.43
1700003H04Rik	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0
1700003M02Rik	0.0	5.0362	0.0782	2.6142	20.631	12.8307
1700003M07Rik	13.3654	18.1228	38.7413	19.874	41.5332	10.9535
1700003P14Rik	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0
1700006H21Rik	1.71	4.0281	10.6409	1.7264	4.1751	6.4494
1700007B14Rik	0	0	0	0	0	0
1700007F19Rik	0.9312	0.0003	0.0031	0.0	0.0016	0.0031
1700007G11Rik	2.5191	6.0489	22.5744	6.2004	23.8672	26.833
1700007J10Rik	101.8234	79.5179	106.9664	83.3256	81.2237	73.622
1700007K09Rik	17.4617	4.0313	2.2536	11.9249	4.1959	0.0789
1700007K13Rik	13.4625	14.0934	9.8172	24.6333	25.9425	4.4677
1700007L15Rik	26.8221	28.1946	106.7081	33.3738	47.9176	91.722
1700007P06Rik	2.6206	4.0289	7.512	5.4362	7.2626	4.3545
1700008C04Rik	0	0	0	0	0	0
1700008J07Rik	101.7022	69.4606	178.1931	94.145	93.7366	153.4904
1700008K24Rik	0	0	0	0	0	0
1700008O03Rik	9.998	5.0362	5.4424	8.1866	4.1957	7.5606
1700008P02Rik	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0
1700009N14Rik	0.0	2.0076	0.0062	0.0	0.0032	0.0062
1700010B08Rik	2.7426	1.0086	0.0271	5.6165	0.0141	0.0273
1700010D01Rik	0.0	0.0003	1.0524	0.0	0.0016	0.0032
1700010I02Rik	0	0	0	0	0	0
1700010I14Rik	0.0	0.0005	0.0061	1.8855	0.0032	0.0062
1700010J16Rik	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0
1700011A15Rik	12.9504	0.0048	8.5281	0.8157	0.03	3.2784
1700011B04Rik	0	0	0	0	0	0
1700011C11Rik	0	0	0	0	0	0
1700011E24Rik	5.4362	4.0272	4.3304	8.2907	2.1117	1.1535
1700011H14Rik	0.0	0.0015	0.0173	3.7544	2.0652	0.0174
1700011I03Rik	1.696	7.0429	8.5741	6.3601	6.2408	3.3025
1700011L22Rik	0.0	1.0089	2.1588	3.6967	2.0817	2.1599
1700011M02Rik	0.0	0.0005	0.0062	0.0	2.0473	0.0062
1700012A03Rik	0	0	0	0	0	0
1700012B07Rik	0.0	0.0029	2.1699	0.857	5.1545	5.3021
1700012B09Rik	0.0	0.0005	0.0061	1.8855	0.0032	0.0062
1700012C14Rik	1.7783	2.0139	3.2153	3.6787	2.0869	0.0343
1700012D01Rik	63.0341	37.2516	89.59	39.7258	59.3552	85.3342
1700012D14Rik	28.7988	41.258	28.1328	30.8105	31.2289	17.4251
1700012D16Rik	0	0	0	0	0	0
1700012H19Rik	0	0	0	0	0	0
1700012I11Rik	0	0	0	0	0	0
1700012L04Rik	0.0	1.0043	0.0031	0.0	0.0016	0.0032
1700012P22Rik	0	0	0	0	0	0
1700013D24Rik	0.0	0.0003	0.0031	0.9352	0.0016	0.0031
1700013F07Rik	1.7658	2.0148	1.1236	0.0	8.2246	2.1804
1700013G24Rik	0.0	0.0003	0.0031	0.0	0.0016	1.0527
1700013H16Rik	0	0	0	0	0	0
1700015E13Rik	0.0	0.0005	0.0061	1.8855	0.0032	0.0062
1700015F17Rik	4.4904	1.0128	1.1567	11.1001	2.1145	7.4958
1700015G11Rik	0.0	0.0005	0.0062	0.0	2.0473	0.0062
1700016C15Rik	2.7725	0.0017	1.0904	2.7856	0.0103	0.02
1700016D06Rik	2.8102	0.001	0.0119	0.0	1.038	0.012
1700016G22Rik	1.8532	0.001	0.0119	1.8617	0.0062	0.012
1700016H13Rik	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	0
1700016L04Rik	2.6766	8.0391	2.195	4.5757	1.0692	0.0464
1700016L21Rik	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0
1700017B05Rik	3552.6565	3579.1696	2756.0497	3567.0373	3272.2364	2885.1153
1700017D01Rik	0	0	0	0	0	0
1700017G19Rik	4.2799	7.0595	49.4848	4.3198	42.6012	56.9864
1700017J07Rik	0	0	0	0	0	0
1700017L05Rik	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0
1700018A04Rik	45.8402	48.3174	75.5798	56.1577	48.9599	69.1681
1700018B08Rik	1.814	0.0019	4.2165	1.8247	0.0117	0.0227
1700018B24Rik	0	0	0	0	0	0
1700018C11Rik	0.0	0.003	5.307	6.5179	1.0614	1.1206
1700018F24Rik	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0
1700018L02Rik	44.0376	68.4372	71.2672	46.1367	59.3351	43.3469
1700019A02Rik	1.7981	1.0086	4.2349	0.8712	0.0143	2.1543
1700019B03Rik	2.7611	2.0116	2.1408	0.0	0.0117	1.0962
1700019B21Rik	10.7405	6.0484	5.5258	16.3544	19.7306	23.6247
1700019C18Rik	0	0	0	0	0	0
1700019D03Rik	0.0	0.0005	2.0918	0.0	0.0032	0.0062
1700019E08Rik	0.0	0.001	4.1731	0.0	0.0062	0.0121
1700019G17Rik	73.7133	103.6721	122.1224	91.4484	121.7843	116.7957
1700019G24Rik	3.3755	16.1143	29.2014	10.6834	65.3883	52.7569
1700019L03Rik	197.1598	194.2618	191.4293	205.6278	283.1327	258.4842
1700019M22Rik	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0
1700019O17Rik	0.0	0.0005	0.0061	1.8855	0.0032	0.0062
1700020A23Rik	9.0719	8.05	1.1782	17.5582	2.1287	1.1794
1700020D05Rik	35.0341	40.2635	44.3353	56.2709	35.4324	54.0215
1700020D14Rik	0	0	0	0	0	0
1700020G17Rik	0	0	0	0	0	0
1700020I14Rik	4193.8293	4035.1237	4108.5566	3832.4479	3257.6938	4182.0798
1700020L24Rik	950.1432	858.5571	573.1501	760.1161	1092.0645	627.5136
1700020M21Rik	0	0	0	0	0	0
1700020N01Rik	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	0
1700021F05Rik	1407.5172	1448.3777	1591.4991	1334.5238	1390.9454	1558.8
1700021F07Rik	0	0	0	0	0	0
1700021K19Rik	3400.4045	3486.5736	3418.7807	3264.3497	3877.1071	3806.7031
1700021N21Rik	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0
1700022E09Rik	0.0	0.0003	0.0031	0.9352	0.0016	0.0031
1700022H01Rik	7.1527	4.0336	10.7788	6.2743	11.428	13.9565
1700022H16Rik	3.6412	2.0147	5.3151	1.7797	0.0199	2.18
1700022I11Rik	48.8869	21.1435	5.5852	62.9543	22.9381	12.052
1700023C21Rik	0	0	0	0	0	0
1700023F02Rik	0	0	0	0	0	0
1700023F06Rik	10.9684	2.0199	1.1716	6.3461	2.1244	12.7975
1700024B18Rik	0	0	0	0	0	0
1700024F13Rik	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0
1700024I08Rik	0.0	1.0043	0.0031	0.0	0.0016	0.0032
1700024N05Rik	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0
1700024P16Rik	74.7662	48.3213	55.2169	60.6442	55.2176	125.1917
1700025B11Rik	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0
1700025G04Rik	4732.3139	4564.5535	5125.9569	4960.4719	3938.5858	5394.7106
1700025J12Rik	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0
1700025N23Rik	0.8751	2.0116	0.0224	3.7294	0.0116	1.096
1700026D08Rik	20.6032	21.1436	50.5922	30.8143	29.1556	23.8584
1700026D11Rik	0	0	0	0	0	0
1700026F02Rik	0.0	0.0003	0.0031	0.9352	0.0016	0.0031
1700026J14Rik	7.0432	10.073	19.4322	20.8998	12.5278	32.2132
1700026L06Rik	14.2287	38.2423	44.2011	21.6395	45.7358	21.7249
1700027A15Rik	0	0	0	0	0	0
1700027F06Rik	0.0	0.0003	0.0031	0.9352	0.0016	0.0031
1700027F09Rik	0.9111	2.0084	0.0091	0.0	0.0047	0.0092
1700027H10Rik	0.0	0.0003	0.0031	0.0	1.0269	0.0032
1700027I24Rik	0.8808	1.0075	2.1343	0.0	1.0467	2.1352
1700027J07Rik	0	0	0	0	0	0
1700028B04Rik	0.9312	0.0003	0.0031	0.0	0.0016	0.0031
1700028D13Rik	0.0	0.0005	0.0062	0.0	2.0473	0.0062
1700028E10Rik	21.5095	22.1496	35.6274	47.3226	28.1219	23.862
1700028I16Rik	7.3339	0.0045	6.4153	1.7444	3.1363	4.3199
1700028J19Rik	34.2174	35.2275	28.1664	30.7662	41.6112	32.4712
1700028K03Rik	98.3296	74.481	46.6051	106.2159	53.1404	41.2428
1700028M03Rik	4.6286	0.0025	1.1081	4.65	0.0152	0.0296
1700028P14Rik	0.0	0.0015	0.0174	1.8416	4.1011	0.0175
1700028P15Rik	0	0	0	0	0	0
1700029B22Rik	0.0	2.0076	0.0062	0.0	0.0032	0.0062
1700029F12Rik	0	0	0	0	0	0
1700029H14Rik	10.8125	7.0508	4.4267	15.5239	12.4741	10.8131
1700029I15Rik	17.8434	44.2797	41.0297	27.1028	46.7939	28.1841
1700029J03Rik	0	0	0	0	0	0
1700029J07Rik	70.9482	108.7094	218.1563	59.5881	201.8777	138.457
1700029M20Rik	0.0	0.001	0.0119	1.8615	2.057	0.012
1700029N11Rik	0	0	0	0	0	0
1700029P11Rik	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0
1700030C10Rik	0.9312	0.0003	0.0031	0.0	0.0016	0.0031
1700030F04Rik	0	0	0	0	0	0
1700030F18Rik	0.0	1.0043	0.0031	0.0	0.0016	0.0032
1700030J22Rik	98.1241	118.7654	94.106	106.0028	121.7834	87.6856
1700030K09Rik	841.9778	914.9224	983.8507	760.9933	823.5387	915.1601
1700030L20Rik	0	0	0	0	0	0
1700030M09Rik	2.6949	2.0151	3.2326	3.6545	4.1432	0.0406
1700030N03Rik	0	0	0	0	0	0
1700030O20Rik	1.8785	0.0005	0.0061	0.0	0.0032	0.0062
1700031A10Rik	0.9028	0.001	0.0119	2.8212	0.0062	0.012
1700031F05Rik	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0
1700034E13Rik	4.429	5.0364	7.5594	6.3194	2.1299	15.9908
1700034G24Rik	0	0	0	0	0	0
1700034H15Rik	5.3816	3.025	5.4226	7.2847	5.2165	8.5881
1700034I23Rik	1.7213	4.0269	4.3275	5.4727	4.168	5.3811
1700034J05Rik	37.7955	47.3019	29.2772	60.9036	27.1195	35.7362
1700034K08Rik	0	0	0	0	0	0
1700034O15Rik	0	0	0	0	0	0
1700034P13Rik	0.8011	7.0403	2.2223	4.5223	2.1138	10.6359
1700036G14Rik	0	0	0	0	0	0
1700037C18Rik	144.0726	136.8885	193.4166	138.5926	144.7201	116.9075
1700037H04Rik	521.4015	547.544	504.9415	530.0199	507.0338	528.9851
1700039E15Rik	0	0	0	0	0	0
1700039E22Rik	0	0	0	0	0	0
1700040L02Rik	0.0	0.0015	0.0175	0.0	2.0655	4.1979
1700041A01Rik	0	0	0	0	0	0
1700041C23Rik	0.0	0.0003	0.0031	0.9352	0.0016	0.0031
1700041M19Rik	0	0	0	0	0	0
1700042G07Rik	0.9206	0.0005	0.0061	0.9252	0.0032	0.0062
1700042G15Rik	0	0	0	0	0	0
1700042O10Rik	55.9324	34.2277	53.9949	36.167	21.9388	63.6819
1700044C05Rik	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0
1700047A11Rik	8.1656	8.0485	0.0727	15.7196	0.0375	3.3109
1700047E10Rik	0.0	0.0003	0.0031	0.0	1.0269	0.0032
1700047G03Rik	0.0	0.0008	2.1018	0.0	1.0347	0.0092
1700047I17Rik2	0	0	0	0	0	0
1700047L14Rik	0	0	0	0	0	0
1700047M11Rik	1.8532	0.001	0.0119	1.8617	0.0062	0.012
1700048M11Rik	37.0761	21.1413	19.5334	29.9454	26.03	20.615
1700048O20Rik	434.92	465.0112	554.5892	437.5728	434.1629	473.8134
1700049E15Rik	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0
1700049G17Rik	515.0369	628.0651	888.5534	506.3925	488.3217	550.6536
1700049L16Rik	0.0	0.0003	0.0031	0.0	1.0269	0.0032
1700051A21Rik	0.0	0.0021	2.1476	0.0	5.1352	2.1486
1700052I22Rik	0	0	0	0	0	0
1700052K11Rik	420.5206	421.7323	530.7974	418.5507	364.4274	494.3261
1700054A03Rik	0.0	3.0119	1.074	0.0	0.0062	0.0121
1700054K19Rik	0	0	0	0	0	0
1700054M17Rik	6.3533	2.0184	1.1579	16.7593	1.0807	0.0622
1700055C04Rik	0	0	0	0	0	0
1700056E22Rik	107.1185	142.9193	170.6614	81.4144	127.0042	73.6905
1700057G04Rik	0.0	0.001	4.1731	0.0	0.0062	0.0121
1700057H15Rik	0	0	0	0	0	0
1700057H21Rik	0.0	2.0092	2.1109	0.0	0.0062	0.0121
1700060C16Rik	0	0	0	0	0	0
1700060C20Rik	1.8227	2.0111	2.134	0.8879	0.0104	0.0201
1700061F12Rik	0	0	0	0	0	0
1700061G19Rik	37.026	27.1775	23.839	40.92	20.863	20.6361
1700061I17Rik	2.6953	5.0266	0.0402	4.6	1.0647	2.184
1700061J23Rik	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0
1700063D05Rik	0.0	1.0056	0.0091	0.9162	0.0047	1.0679
1700063O14Rik	0	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0
1700064M15Rik	0.0	2.0117	0.0226	0.0	6.1468	0.0228
1700065D16Rik	1.8226	1.0075	2.134	0.8879	0.0104	1.0913
1700065I16Rik	0	0	0	0	0	0
1700065J11Rik	0.0	0.0008	0.0091	0.0	0.0048	3.1328
1700065J18Rik	11.777	9.0589	5.477	11.8462	8.3381	6.5435
1700065L07Rik	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0
1700066B19Rik	0.0	0.0021	0.0251	1.8168	6.1528	1.1009
1700066J03Rik	0	0	0	0	0	0
1700066M21Rik	1284.0483	1222.9261	1212.139	1238.407	1520.0557	3716.4206
1700066N21Rik	0	0	0	0	0	0
1700066O22Rik	0.0	2.0111	0.0201	0.0	3.0886	2.1352
1700067G17Rik	0	0	0	0	0	0
1700067K01Rik	9.7583	11.0802	19.4653	16.2553	30.1162	29.0725
1700067P10Rik	0	0	0	0	0	0
1700069L16Rik	0.0	0.0017	5.2405	0.0	2.0692	0.0203
1700069P05Rik	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0
1700071M16Rik	0.0	0.001	4.1731	0.0	0.0062	0.0121
1700072B07Rik	0	0	0	0	0	0
1700072I22Rik	0	0	0	0	0	0
1700072O05Rik	0	0	0	0	0	0
1700073E17Rik	0.0	1.0043	0.0031	0.0	0.0016	0.0032
1700074H08Rik	1.7915	0.0025	0.0296	3.6972	3.104	2.1596
1700074P13Rik	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0
1700080O16Rik	0.0	2.0092	0.0119	1.8615	0.0062	0.012
1700081H04Rik	0	0	0	0	0	0
1700084C01Rik	1.7218	0.0047	4.3268	9.2414	5.194	4.329
1700084D21Rik	0	0	0	0	0	0
1700084E18Rik	7.0446	17.111	24.7511	7.0979	23.8935	21.5694
1700084F23Rik	0	0	0	0	0	0
1700084J12Rik	2.633	4.0279	2.2243	9.2135	1.0803	8.5459
1700084M14Rik	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0
1700086L19Rik	0	0	0	0	0	0
1700086O06Rik	156.5903	212.3736	192.4746	172.0774	210.2994	256.2748
1700088E04Rik	20.5769	29.1921	49.578	21.6259	39.5337	36.7498
1700091H14Rik	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0
1700092K14Rik	0	0	0	0	0	0
1700092M07Rik	36.9895	21.1444	31.3563	31.7132	37.4503	26.014
1700093K21Rik	5.5406	2.0143	1.1198	0.0	1.0614	4.2671
1700094D03Rik	146.6774	172.1178	230.2255	149.3947	212.3707	238.9805
1700094J05Rik	10.1754	2.0168	2.205	4.5559	2.1051	0.0514
1700094M24Rik	0.0	0.001	0.012	0.9082	3.0737	0.012
1700095A21Rik	0	0	0	0	0	0
1700095B10Rik	0	0	0	0	0	0
1700095J12Rik	11.8348	4.032	1.1841	12.8357	7.2921	6.5162
1700096J18Rik	0.8287	5.0278	0.0445	2.6998	6.1959	3.2451
1700096K18Rik	117.7798	195.2669	315.5203	155.7201	246.7156	235.7864
1700096P03Rik	0.0	1.005	0.0062	0.0	1.031	0.0062
1700097N02Rik	0	0	0	0	0	0
1700099I09Rik	8.2383	6.036	2.221	4.5247	2.1132	3.2818
1700100I10Rik	0	0	0	0	0	0
1700100L14Rik	2.784	0.0015	0.0173	1.8419	0.009	1.0858
1700101E01Rik	23.4214	16.1106	31.2485	20.8087	10.478	32.3312
1700101I11Rik	0.0	2.0131	0.0299	0.8662	6.1643	2.1602
1700101O22Rik	0	0	0	0	0	0
1700102H20Rik	17.0822	15.1017	17.3187	14.4291	17.7062	27.987
1700102P08Rik	13.3498	25.164	18.4628	27.1903	32.2412	38.798
1700104L18Rik	0	0	0	0	0	0
1700105P06Rik	17.9895	11.0799	15.1904	20.8647	31.1441	16.2666
1700106J16Rik	0	0	0	0	0	0
1700108F19Rik	0.0	0.0017	0.02	1.8327	5.1236	0.0202
1700108J01Rik	0.0	0.0008	1.0674	1.8728	0.0047	0.0091
1700109G14Rik	3.6897	2.0126	0.0272	1.8103	2.0785	0.0274
1700109G15Rik	0	0	0	0	0	0
1700109H08Rik	97.2475	96.6264	95.162	119.6825	78.122	99.5226
1700109I08Rik	0	0	0	0	0	0
1700109K24Rik	454.8854	443.8672	320.0869	440.4147	283.2281	237.0365
1700110C19Rik	2.6	10.0577	8.597	1.7026	4.1911	10.7068
1700110I01Rik	0	0	0	0	0	0
1700110I07Rik	0	0	0	0	0	0
1700110K17Rik	0.0	1.0061	1.0739	1.8615	0.0062	0.012
1700111N16Rik	0	0	0	0	0	0
1700112E06Rik	10.0231	0.0061	9.6482	1.7033	5.2205	10.705
1700112H15Rik	3.6188	4.024	1.1323	4.5835	3.1246	1.1332
1700112J05Rik	0.8583	1.009	3.2027	1.8029	2.0817	2.1601
1700112J16Rik	5.2293	14.0942	32.1751	8.9384	18.7235	18.3629
1700113A16Rik	387.1036	444.8855	520.0714	490.1171	649.6151	682.4827
1700113B09Rik	1.7205	6.0353	2.2167	0.8171	6.2203	8.5277
1700113H08Rik	0	0	0	0	0	0
1700116B05Rik	0	0	0	0	0	0
1700119H24Rik	11.682	2.024	12.9724	17.3115	13.5284	17.2271
1700120C14Rik	12.6723	8.0554	12.9178	7.1822	4.2157	13.9827
1700120E14Rik	0	0	0	0	0	0
1700120G07Rik	2.6707	2.0163	2.1989	5.5108	4.1552	3.2541
1700120K04Rik	17.0237	32.1991	13.0839	18.9699	27.0442	26.9954
1700121L16Rik	0	0	0	0	0	0
1700121N20Rik	0	0	0	0	0	0
1700122C19Rik	0	0	0	0	0	0
